"","ThisWeek","LastWeek","Title","Studio","WeeklyGross","PctChange","TheatreCount","TheatreChange","Average","TotalGross","Budget","WeekNum","calYear","calWeek"
"209","73","55","Citizen Koch","Vari.","$14,700","-70.3%","12","-12","$9,900","$156,600","-","5",2014,27
"210","74","46","The Signal (2014)","Focus","$13,600","-87.5%","35","-145","$3,100","$680,700","-","4",2014,27
"211","75","63","Code Black","Long Shot","$13,000","-66.2%","1","-1","$105,100","$63,900","-","3",2014,27
"212","76","72","The Lunchbox","SPC","$12,400","-48.9%","5","-11","$20,100","$4,797,000","-","19",2014,27
"213","77","81","Finding Vivian Maier","IFC","$12,300","-30.2%","7","-4","$14,200","$1,691,600","-","15",2014,27
"214","78","108","Borgman","Drft.","$11,200","+177.9%","11","+6","$8,200","$57,600","-","5",2014,27
"215","79","96","Born to Be Wild (IMAX)","WB","$11,100","+63.9%","7","+1","$12,900","$27,115,700","-","170",2014,27
"216","80","86","Frozen","BV","$11,100","-0.3%","12","-","$7,500","$459,749,400","$150","33",2014,27
"217","81","84","Gore Vidal: United States of Amnesia","IFC","$10,200","-23.3%","6","-","$13,800","$151,200","-","7",2014,27
"218","82","61","The Internet's Own Boy","FB/Part.","$9,900","-76.3%","4","-8","$20,000","$51,700","-","2",2014,27
"219","83","78","Hellion","IFC","$9,600","-47.5%","7","+1","$11,100","$50,000","-","4",2014,27
"220","84","89","The Double (2014)","Magn.","$9,100","-11.5%","7","-2","$10,500","$200,500","-","9",2014,27
"221","85","85","Walking with the Enemy","LS","$6,800","-44.3%","12","-7","$4,600","$1,006,900","-","11",2014,27
"222","86","77","Coherence","Osci.","$6,700","-63.7%","3","-1","$18,100","$49,600","-","3",2014,27
"223","87","104","Lucky Them","IFC","$6,600","+49.0%","4","-2","$13,400","$41,200","-","6",2014,27
"224","88","106","Ai Weiwei: The Fake Case","ICir","$5,800","+37.3%","3","-4","$15,700","$50,300","-","8",2014,27
"225","89","65","Ivory Tower","Gold.","$5,800","-83.7%","3","-6","$15,700","$107,000","-","4",2014,27
"226","90","93","Ilo Ilo","FM","$5,600","-32.8%","2","-","$22,600","$61,500","-","14",2014,27
"227","91","83","We Are The Best!","Magn.","$5,000","-66.0%","12","-7","$3,400","$180,200","-","6",2014,27
"228","92","92","Redwood Highway","Mont.","$4,900","-44.4%","2","-5","$19,900","$133,900","-","13",2014,27
"229","93","109","To the Arctic (IMAX)","WB","$4,800","+34.4%","1","-1","$38,400","$16,166,200","-","116",2014,27
"230","94","95","Cold in July","IFC","$4,300","-43.0%","6","-1","$5,800","$476,900","-","7",2014,27
"231","95","91","Palo Alto","Trib.","$4,100","-56.5%","4","-5","$8,200","$867,500","-","9",2014,27
"232","96","90","Siddharth","Zeit.","$3,700","-61.8%","1","-","$29,900","$13,400","-","2",2014,27
"233","97","88","Jodorowsky's Dune","SPC","$3,600","-66.1%","3","-4","$9,600","$738,200","-","16",2014,27
"234","98","98","The Discoverers","Quad","$3,600","-43.7%","2","-1","$14,400","$37,700","-","8",2014,27
"235","99","-","Closed Curtain","Vari.","$3,000","-","1","-","$24,600","$3,000","-","-",2014,27
"236","100","79","The Last Sentence","MBox","$3,000","-83.4%","2","-4","$12,100","$37,400","-","3",2014,27
"237","101","117","Filth","Magn.","$2,700","+81.7%","3","-","$7,300","$37,900","-","6",2014,27
"238","102","119","The Hornet's Nest","Free","$2,700","+111.3%","1","-","$21,600","$355,300","-","9",2014,27
"239","103","99","Archipelago","KL","$2,600","-57.1%","1","-","$21,200","$8,700","-","2",2014,27
"240","104","N","Marius","KL","$2,100","-","1","-","$17,200","$2,100","-","1",2014,27
"241","105","110","The Amazing Catfish","Strand","$2,000","-41.8%","2","-1","$8,200","$12,900","-","4",2014,27
"242","106","124","Deep Sea 3D (IMAX)","WB","$2,000","+160.8%","1","-3","$15,900","$52,878,100","-","436",2014,27
